t_epoch_s,t_mono_ns,ch1_pct,ch2_pct,ch3_pct,ch4_pct,ch5_pct,ch6_pct,ch7_pct,ch8_pct
1764424546.519759,1516776710812,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.522250,1516779202219,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.524740,1516781691876,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.527231,1516784182992,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.529743,1516786695399,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.532232,1516789183306,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.534722,1516791673546,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.537214,1516794165828,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.539721,1516796672402,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.542209,1516799160893,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.544698,1516801649966,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.547188,1516804139915,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.549692,1516806643281,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.552177,1516809129146,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.554668,1516811619678,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.557160,1516814111960,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.559667,1516816619117,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.562154,1516819105566,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.564647,1516821599015,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.567140,1516824091297,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.569648,1516826599912,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.572135,1516829087236,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.574630,1516831581560,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.577122,1516834073842,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.579628,1516836580124,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.582116,1516839067448,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.584606,1516841558272,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.587101,1516844052887,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.589604,1516846555961,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.592090,1516849041534,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.594579,1516851530900,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.597071,1516854022307,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.599556,1516856507881,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.602072,1516859023496,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.604563,1516861514612,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.607053,1516864004560,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.609544,1516866495676,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.612058,1516869010124,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.614548,1516871499490,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.617038,1516873990022,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.619523,1516876474721,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.622040,1516878991795,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.624530,1516881481743,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.627022,1516883974025,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.629510,1516886461349,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.632021,1516888972590,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.634512,1516891463413,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.637002,1516893953945,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.639488,1516896439228,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.641978,1516898929468,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.644473,1516901424375,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.646964,1516903915782,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.649450,1516906401064,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.651937,1516908889263,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.654430,1516911381837,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.656921,1516913872369,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.659407,1516916359109,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.661897,1516918849058,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.664388,1516921339590,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.666880,1516923831581,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.669527,1516926478154,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.672045,1516928996978,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.674540,1516931491593,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.677035,1516933987375,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.679524,1516936475574,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.682034,1516938985939,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424546.684525,1516941477346,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
