t_s,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
3.2016,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.21182,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.22204,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.23225,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.2426,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.2527,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.26281,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.27317,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.28334,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.29351,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.3037,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.31387,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.32405,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.33423,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.34441,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.35459,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.36476,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.37494,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.38511,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.39529,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.40547,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.41565,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.42591,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.43609,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.44627,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.45635,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.46644,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.47674,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.48686,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.49708,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.50729,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.51751,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.52773,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.53796,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.54818,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.5584,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.56862,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.57884,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.58907,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.59929,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.60951,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.61974,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.62996,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.64018,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.6503,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.6604,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.67063,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.68089,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.69111,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.70133,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.71154,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.72176,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.73199,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.74222,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.75244,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.76267,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.77289,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.78311,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.79334,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.80346,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.81367,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.8239,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.83412,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.84436,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.8545,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.86462,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.87476,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.8849,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.89505,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.90513,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.9153,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.92547,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.93554,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.94571,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.9558,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.96588,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.97597,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.98614,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.99631,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.00648,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.01665,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.02685,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.03707,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.04729,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.0575,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.06771,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.07792,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.08812,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.09834,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.10864,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.11884,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.12904,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.13922,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.14947,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.15966,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.16991,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.18014,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.19038,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.20062,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.21086,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.22109,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.23137,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.24162,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.2519,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.26216,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.27244,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.28269,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.29297,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.30317,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.31342,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.32366,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.3339,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.34419,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.35443,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.36465,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.37488,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.38517,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.39542,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.40572,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.41597,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.42625,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.43651,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.44679,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.45693,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.46721,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.47746,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.48774,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.49799,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.50827,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.51852,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.52881,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.53908,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.54936,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.55961,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.5699,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.58015,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.59022,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.60041,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.61063,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.62081,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.63103,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.64122,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.65143,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.66171,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.67196,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.68225,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.69252,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.7028,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.71305,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.72334,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.73359,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.74387,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.75412,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.7644,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.77465,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.78493,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.79519,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.80547,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.81574,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.82601,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.83619,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.84641,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.85663,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.8667,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.87689,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.88711,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.89729,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.9075,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.91769,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.9279,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.93808,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.9483,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.95848,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.96873,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.97888,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.98909,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.99934,-0.25,-0.25,-0.25,-0.25,0,0,0,0
5.00942,-0.25,-0.25,-0.25,-0.25,0,0,0,0
5.01966,-0.25,-0.25,-0.25,-0.25,0,0,0,0
5.0299,-0.25,-0.25,-0.25,-0.25,0,0,0,0
5.04014,-0.25,-0.25,-0.25,-0.25,0,0,0,0
5.05038,-0.25,-0.25,-0.25,-0.25,0,0,0,0
5.06062,-0.25,-0.25,-0.25,-0.25,0,0,0,0
5.07085,-0.25,-0.25,-0.25,-0.25,0,0,0,0
5.08107,-0.25,-0.25,-0.25,-0.25,0,0,0,0
5.0913,-0.25,-0.25,-0.25,-0.25,0,0,0,0
5.10153,-0.25,-0.25,-0.25,-0.25,0,0,0,0
5.11175,-0.25,-0.25,-0.25,-0.25,0,0,0,0
5.12198,-0.25,-0.25,-0.25,-0.25,0,0,0,0
5.13227,-0.25,-0.25,-0.25,-0.25,0,0,0,0
5.14251,-0.25,-0.25,-0.25,-0.25,0,0,0,0
5.15274,-0.25,-0.25,-0.25,-0.25,0,0,0,0
5.16296,-0.25,-0.25,-0.25,-0.25,0,0,0,0
5.17319,-0.25,-0.25,-0.25,-0.25,0,0,0,0
5.18342,-0.25,-0.25,-0.25,-0.25,0,0,0,0
5.19365,-0.25,-0.25,-0.25,-0.25,0,0,0,0
5.20387,-0.25,-0.25,-0.25,-0.25,0,0,0,0
5.2141,-0.25,-0.25,-0.25,-0.25,0,0,0,0
5.22433,-0.25,-0.25,-0.25,-0.25,0,0,0,0
5.23456,-0.25,-0.25,-0.25,-0.25,0,0,0,0
5.24478,-0.25,-0.25,-0.25,-0.25,0,0,0,0
5.25501,-0.25,-0.25,-0.25,-0.25,0,0,0,0
5.26524,-0.25,-0.25,-0.25,-0.25,0,0,0,0
5.27548,-0.25,-0.25,-0.25,-0.25,0,0,0,0
5.28572,-0.25,-0.25,-0.25,-0.25,0,0,0,0
5.29597,-0.25,-0.25,-0.25,-0.25,0,0,0,0
5.30621,-0.25,-0.25,-0.25,-0.25,0,0,0,0
